filename,nrow,ncol,nnz,sparsity,N(B),cusparse,SEQREDUCE_ROWBALANCE,PARREDUCE_ROWBALANCE,SEQREDUCE_NNZBALANCE,PARREDUCE_NNZBALANCE,ROWCACHING_ROWBALANCE,ROWCACHING_NNZBALANCE,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME
dwt_221.mtx,221,221,925,0.018939,16,0.0139264,0.0045056,0.0038912,0.006656,0.0053248,0.0037888,0.0044032,5,ROWCACHING_ROWBALANCE
af_0_k101.mtx,503625,503625,9027150,3.55907e-05,16,0.786534,0.211866,0.80681,0.547635,2.8034,0.807014,0.211866,1,SEQREDUCE_ROWBALANCE
blckhole.mtx,2132,2132,8502,0.00187045,16,0.0167936,0.0043008,0.005632,0.007168,0.0106496,0.0055296,0.0043008,1,SEQREDUCE_ROWBALANCE
af_shell1.mtx,504855,504855,9046865,3.54948e-05,16,0.789914,0.210842,0.811008,0.553574,2.80852,0.811008,0.210944,1,SEQREDUCE_ROWBALANCE
OPF_10000.mtx,43887,43887,255799,0.000132809,16,0.0449536,0.0116736,0.0560128,0.0361472,0.1792,0.0560128,0.011776,1,SEQREDUCE_ROWBALANCE
nsct.mtx,23003,37563,697738,0.000807509,16,0.0664576,0.050176,0.0406528,0.07936,0.141619,0.0405504,0.0475136,5,ROWCACHING_ROWBALANCE
mhda416.mtx,416,416,8562,0.0494753,16,0.0155648,0.00512,0.0044032,0.016896,0.0057344,0.0045056,0.00512,2,PARREDUCE_ROWBALANCE
oscil_dcop_28.mtx,430,430,1544,0.00835046,16,0.0167936,0.0041984,0.0041984,0.0079872,0.0062464,0.0041984,0.004096,6,ROWCACHING_NNZBALANCE
ch5-5-b4.mtx,120,600,600,0.00833333,16,0.0155648,0.003584,0.0036864,0.0052224,0.0052224,0.0036864,0.0036864,1,SEQREDUCE_ROWBALANCE
ch6-6-b2.mtx,2400,450,7200,0.00666667,16,0.0166912,0.0039936,0.0064512,0.0060416,0.0115712,0.0065536,0.004096,1,SEQREDUCE_ROWBALANCE
specular.mtx,477976,1600,7647616,0.01,16,0.586138,0.140902,0.673178,0.35287,2.55181,0.672973,0.140902,1,SEQREDUCE_ROWBALANCE
aug2dc.mtx,30200,30200,40000,4.38577e-05,16,0.0301056,0.0054272,0.0391168,0.012288,0.111616,0.0392192,0.0053248,6,ROWCACHING_NNZBALANCE
mycielskian9.mtx,383,383,7271,0.0495675,16,0.0166912,0.0128,0.0049152,0.0106496,0.0059392,0.0049152,0.0129024,2,PARREDUCE_ROWBALANCE
id2010.mtx,149842,149842,364132,1.62178e-05,16,0.0858112,0.0210944,0.174285,0.0724992,0.551936,0.174387,0.0210944,1,SEQREDUCE_ROWBALANCE
c8_mat11.mtx,4562,5761,2462970,0.0937143,16,0.160051,0.101478,0.0602112,0.597299,0.210432,0.060928,0.101376,2,PARREDUCE_ROWBALANCE
G3_circuit.mtx,1585478,1585478,4623152,1.83915e-06,16,0.700518,0.29399,2.09551,1.0924,6.09393,2.09521,0.29399,1,SEQREDUCE_ROWBALANCE
model3.mtx,1609,4578,23974,0.00325468,16,0.0186368,0.0139264,0.0059392,0.0218112,0.010752,0.006144,0.0139264,2,PARREDUCE_ROWBALANCE
ASIC_680k.mtx,682862,682862,3871773,8.30317e-06,16,0.568013,38.8563,5.9818,0.855142,3.41023,5.96736,38.8805,0,CuSparse
olafu.mtx,16146,16146,515651,0.001978,16,0.0514048,0.0159744,0.0269312,0.032256,0.101069,0.0268288,0.0160768,1,SEQREDUCE_ROWBALANCE
bp_1600.mtx,822,822,4841,0.00716459,16,0.0178176,0.017408,0.005632,0.0103424,0.0065536,0.005632,0.017408,2,PARREDUCE_ROWBALANCE
watt_1.mtx,1856,1856,11360,0.00329779,16,0.0202752,0.0044032,0.0058368,0.0111616,0.0099328,0.0058368,0.0044032,1,SEQREDUCE_ROWBALANCE
lshp3466.mtx,3466,3466,13681,0.00113883,16,0.0172032,0.004608,0.0074752,0.008192,0.0157696,0.0074752,0.0045056,6,ROWCACHING_NNZBALANCE
rdb1250l.mtx,1250,1250,7300,0.004672,16,0.0167936,0.0041984,0.0052224,0.0090112,0.00768,0.0052224,0.004096,6,ROWCACHING_NNZBALANCE
bcspwr03.mtx,118,118,297,0.0213301,16,0.014336,0.0039936,0.0038912,0.0057344,0.0055296,0.0038912,0.0039936,2,PARREDUCE_ROWBALANCE
lp_osa_60.mtx,10280,243246,1408073,0.000563101,16,0.152064,16.8125,2.0992,0.216678,0.643072,2.1161,16.8167,0,CuSparse
dwt_503.mtx,503,503,3265,0.0129047,16,0.01536,0.0049152,0.0043008,0.0083968,0.0058368,0.0041984,0.0049152,5,ROWCACHING_ROWBALANCE
wa2010.mtx,195574,195574,473716,1.2385e-05,16,0.11264,0.03328,0.23255,0.0940032,0.718746,0.23255,0.0333824,1,SEQREDUCE_ROWBALANCE
oscil_dcop_48.mtx,430,430,1544,0.00835046,16,0.0166912,0.0044032,0.0041984,0.0078848,0.006144,0.0043008,0.0043008,2,PARREDUCE_ROWBALANCE
lp_80bau3b.mtx,2262,12061,23264,0.000852724,16,0.0186368,0.0088064,0.0069632,0.0175104,0.0129024,0.0070656,0.0088064,2,PARREDUCE_ROWBALANCE
lshp1561.mtx,1561,1561,6121,0.00251198,16,0.0157696,0.0044032,0.0052224,0.0073728,0.0084992,0.0053248,0.0044032,1,SEQREDUCE_ROWBALANCE
lp_scagr7.mtx,129,185,465,0.0194846,16,0.0149504,0.0041984,0.0041984,0.006656,0.0055296,0.004096,0.0041984,5,ROWCACHING_ROWBALANCE
rgg_n_2_16_s0.mtx,65536,65536,342127,7.96576e-05,16,0.0564224,0.0129024,0.0785408,0.0453632,0.260506,0.0785408,0.0129024,1,SEQREDUCE_ROWBALANCE
bwm200.mtx,200,200,796,0.0199,16,0.0151552,0.0039936,0.004096,0.006144,0.0055296,0.0039936,0.0039936,1,SEQREDUCE_ROWBALANCE
cavity23.mtx,4562,4562,138187,0.00663983,16,0.0249856,0.0078848,0.0109568,0.0305152,0.0306176,0.0110592,0.0078848,1,SEQREDUCE_ROWBALANCE
GL7d18.mtx,1955309,1548650,35590540,1.17535e-05,16,5.22598,1.95441,3.72214,4.11054,12.0305,3.71425,1.95441,1,SEQREDUCE_ROWBALANCE
can_229.mtx,229,229,1003,0.0191263,16,0.0145408,0.0041984,0.0038912,0.006656,0.0054272,0.0037888,0.0041984,5,ROWCACHING_ROWBALANCE
aug2d.mtx,29008,29008,38416,4.56538e-05,16,0.0290816,0.0054272,0.0376832,0.014848,0.107827,0.0376832,0.0054272,1,SEQREDUCE_ROWBALANCE
epb3.mtx,84617,84617,463625,6.47518e-05,16,0.0717824,0.0155648,0.111309,0.0754688,0.341606,0.111309,0.0154624,6,ROWCACHING_NNZBALANCE
ca-AstroPh.mtx,18772,18772,198110,0.000562193,16,0.0324608,0.0303104,0.0264192,0.0315392,0.0852992,0.0264192,0.0311296,2,PARREDUCE_ROWBALANCE
mbeacxc.mtx,496,496,49920,0.202914,16,0.0186368,0.0272384,0.0078848,0.0899072,0.0099328,0.0079872,0.0272384,2,PARREDUCE_ROWBALANCE
dwa512.mtx,512,512,2480,0.00946045,16,0.0155648,0.0041984,0.0043008,0.0078848,0.0058368,0.0043008,0.0039936,6,ROWCACHING_NNZBALANCE
adder_dcop_46.mtx,1813,1813,11246,0.00342139,16,0.0183296,0.0630784,0.0120832,0.0119808,0.0100352,0.0120832,0.062976,4,PARREDUCE_NNZBALANCE
fpga_dcop_08.mtx,1220,1220,5888,0.00395593,16,0.019456,0.0058368,0.0055296,0.0093184,0.0072704,0.0054272,0.0058368,5,ROWCACHING_ROWBALANCE
cage11.mtx,39082,39082,559722,0.000366453,16,0.062976,0.0147456,0.0541696,0.060928,0.192614,0.0540672,0.0146432,6,ROWCACHING_NNZBALANCE
co5.mtx,5774,12325,57993,0.000814914,16,0.0214016,0.0270336,0.0132096,0.0193536,0.0284672,0.0132096,0.0269312,2,PARREDUCE_ROWBALANCE
nos5.mtx,468,468,2820,0.0128753,16,0.015872,0.0048128,0.0041984,0.0072704,0.0057344,0.0041984,0.0049152,2,PARREDUCE_ROWBALANCE
G21.mtx,800,800,4667,0.00729219,16,0.0165888,0.0099328,0.0052224,0.0077824,0.0063488,0.0052224,0.0099328,2,PARREDUCE_ROWBALANCE
conf5_0-4x4-18.mtx,3072,3072,119808,0.0126953,16,0.0256,4.55414,0.4864,0.016896,0.101581,0.486298,4.55465,3,SEQREDUCE_NNZBALANCE
xenon2.mtx,157464,157464,3866688,0.000155947,16,0.398746,0.102298,0.259686,0.313139,1.02195,0.259482,0.102298,1,SEQREDUCE_ROWBALANCE
c-big.mtx,345241,345241,1343126,1.12687e-05,16,0.275046,0.540672,0.468992,0.240845,1.37349,0.468992,0.542618,3,SEQREDUCE_NNZBALANCE
bcsstk28.mtx,4410,4410,111717,0.00574437,16,0.022016,0.0086016,0.009728,0.019456,0.0275456,0.009728,0.0086016,1,SEQREDUCE_ROWBALANCE
rw5151.mtx,5151,5151,20199,0.000761284,16,0.0187392,0.004608,0.0101376,0.009728,0.0224256,0.0100352,0.0045056,6,ROWCACHING_NNZBALANCE
cz20468.mtx,20468,20468,206076,0.0004919,16,0.0336896,0.0091136,0.0299008,0.0386048,0.0933888,0.0299008,0.009216,1,SEQREDUCE_ROWBALANCE
adder_trans_02.mtx,1814,1814,14579,0.0044305,16,0.0175104,0.0631808,0.0134144,0.0125952,0.01024,0.0132096,0.0631808,4,PARREDUCE_NNZBALANCE
viscoplastic1.mtx,4326,4326,61166,0.00326841,16,0.018944,0.006656,0.0095232,0.01792,0.0236544,0.0094208,0.006656,1,SEQREDUCE_ROWBALANCE
soc-Slashdot0902.mtx,82168,82168,948464,0.00014048,16,0.104346,0.127283,0.115712,0.11008,0.378675,0.115712,0.127386,0,CuSparse
f855_mat9.mtx,2456,2511,171214,0.0277629,16,0.0252928,0.0130048,0.0101376,0.064,0.025088,0.0101376,0.0131072,2,PARREDUCE_ROWBALANCE
LFAT5000.mtx,19994,19994,49980,0.000125025,16,0.0229376,0.005632,0.0267264,0.0140288,0.0765952,0.0267264,0.005632,1,SEQREDUCE_ROWBALANCE
TSOPF_RS_b300_c2.mtx,28338,28338,2943887,0.00366592,16,0.212685,0.0595968,0.080896,0.182374,0.347648,0.0809984,0.0596992,1,SEQREDUCE_ROWBALANCE
PGPgiantcompo.mtx,10680,10680,24316,0.000213182,16,0.022016,0.0142336,0.0154624,0.0103424,0.0415744,0.0154624,0.0142336,3,SEQREDUCE_NNZBALANCE
n4c6-b12.mtx,25605,69235,332865,0.000187766,16,0.0439296,0.0096256,0.0365568,0.0202752,0.124621,0.0365568,0.009728,1,SEQREDUCE_ROWBALANCE
bcspwr04.mtx,274,274,943,0.0125606,16,0.015872,0.0047104,0.004096,0.0073728,0.0058368,0.004096,0.0047104,2,PARREDUCE_ROWBALANCE
cavity09.mtx,1182,1182,32747,0.0234389,16,0.0177152,0.0069632,0.0057344,0.0256,0.0099328,0.0057344,0.0069632,2,PARREDUCE_ROWBALANCE
n3c6-b1.mtx,105,105,210,0.0190476,16,0.0145408,0.003584,0.0043008,0.0045056,0.0055296,0.0043008,0.003584,1,SEQREDUCE_ROWBALANCE
fpga_dcop_29.mtx,1220,1220,5892,0.00395861,16,0.0197632,0.0059392,0.0055296,0.009728,0.0074752,0.0055296,0.0059392,2,PARREDUCE_ROWBALANCE
west0497.mtx,497,497,1727,0.00699165,16,0.0165888,0.0050176,0.0044032,0.0075776,0.006144,0.0044032,0.00512,2,PARREDUCE_ROWBALANCE
lp_sctap3.mtx,1480,3340,9734,0.00196917,16,0.0181248,0.0062464,0.005632,0.0119808,0.0088064,0.0055296,0.0062464,5,ROWCACHING_ROWBALANCE
photogrammetry.mtx,1388,390,11816,0.0218281,16,0.015872,0.0045056,0.0054272,0.0120832,0.0084992,0.0053248,0.0044032,6,ROWCACHING_NNZBALANCE
pkustk08.mtx,22209,22209,1624440,0.00329341,16,0.11991,0.0456704,0.052224,0.102502,0.211661,0.0521216,0.046592,1,SEQREDUCE_ROWBALANCE
GL7d22.mtx,349443,822922,8251000,2.86927e-05,16,1.18753,0.385434,0.684442,0.879206,2.34291,0.684646,0.385434,1,SEQREDUCE_ROWBALANCE
ex6.mtx,1651,1651,49533,0.0181719,16,0.0177152,0.0073728,0.0065536,0.0283648,0.0130048,0.0065536,0.0072704,2,PARREDUCE_ROWBALANCE
Maragal_3.mtx,1690,860,18391,0.0126538,16,0.0180224,0.025088,0.00768,0.016896,0.0100352,0.0077824,0.025088,2,PARREDUCE_ROWBALANCE
HEP-th.mtx,27240,27240,342437,0.000461494,16,0.0567296,0.0371712,0.0406528,0.0495616,0.129536,0.0407552,0.0375808,1,SEQREDUCE_ROWBALANCE
adder_dcop_03.mtx,1813,1813,11148,0.00339157,16,0.0181248,0.0632832,0.0120832,0.0120832,0.0099328,0.0121856,0.0633856,4,PARREDUCE_NNZBALANCE
rdist3a.mtx,2398,2398,61896,0.0107638,16,0.021504,0.0086016,0.0074752,0.034816,0.016384,0.0074752,0.008704,2,PARREDUCE_ROWBALANCE
lshp_577.mtx,577,577,2233,0.00670714,16,0.0150528,0.0039936,0.004096,0.0068608,0.006144,0.004096,0.0039936,1,SEQREDUCE_ROWBALANCE
ABACUS_shell_ld.mtx,23412,23412,0,0,16,0.0098304,0.0041984,0.0269312,0.0036864,0.0804864,0.0268288,0.0041984,3,SEQREDUCE_NNZBALANCE
klein-b1.mtx,30,10,60,0.2,16,0.0129024,0.0036864,0.0037888,0.0039936,0.004608,0.0037888,0.003584,6,ROWCACHING_NNZBALANCE
lp_sc50a.mtx,50,78,160,0.0410256,16,0.0150528,0.004096,0.0037888,0.0050176,0.0048128,0.0037888,0.0039936,2,PARREDUCE_ROWBALANCE
t3dh.mtx,79171,79171,2215638,0.000353481,16,0.190874,0.0499712,0.124928,0.104141,0.477082,0.125133,0.0500736,1,SEQREDUCE_ROWBALANCE
para-4.mtx,153226,153226,5326228,0.000226858,16,0.540979,0.518246,0.312218,0.489779,1.1818,0.31191,0.52224,5,ROWCACHING_ROWBALANCE
bcsstk03.mtx,112,112,376,0.0299745,16,0.0139264,0.0038912,0.0037888,0.0059392,0.0053248,0.0038912,0.0038912,2,PARREDUCE_ROWBALANCE
cage10.mtx,11397,11397,150645,0.00115977,16,0.0282624,0.0072704,0.0183296,0.0268288,0.0569344,0.018432,0.0072704,1,SEQREDUCE_ROWBALANCE
n4c6-b7.mtx,163215,104115,1305720,7.68381e-05,16,0.172134,0.0410624,0.236851,0.0987136,0.71424,0.236851,0.0411648,1,SEQREDUCE_ROWBALANCE
lp_stocfor2.mtx,2157,3045,9357,0.00142462,16,0.0185344,0.0048128,0.0064512,0.0101376,0.0109568,0.0063488,0.0048128,1,SEQREDUCE_ROWBALANCE
RFdevice.mtx,74104,74104,0,0,16,0.0238592,0.0065536,0.0779264,0.0060416,0.248934,0.0779264,0.0065536,3,SEQREDUCE_NNZBALANCE
lp_stair.mtx,356,614,4003,0.0183133,16,0.0160768,0.0057344,0.0041984,0.014336,0.0057344,0.0043008,0.0057344,2,PARREDUCE_ROWBALANCE
af_1_k101.mtx,503625,503625,9027150,3.55907e-05,16,0.78592,0.211763,0.807014,0.547533,2.8033,0.80681,0.211866,1,SEQREDUCE_ROWBALANCE
lpi_refinery.mtx,323,464,1626,0.0108493,16,0.0176128,0.0045056,0.0045056,0.0083968,0.006144,0.0044032,0.0045056,5,ROWCACHING_ROWBALANCE
flowmeter0.mtx,9669,9669,38530,0.000412132,16,0.02048,0.0052224,0.0146432,0.0108544,0.0397312,0.0146432,0.0052224,1,SEQREDUCE_ROWBALANCE
lhr14c.mtx,14270,14270,307858,0.00151183,16,0.0388096,0.0151552,0.0239616,0.0467968,0.0789504,0.0239616,0.0149504,6,ROWCACHING_NNZBALANCE
2D_54019_highK.mtx,54019,54019,996414,0.000341465,16,0.0932864,0.0877568,0.0813056,0.0840704,0.283648,0.0812032,0.0876544,5,ROWCACHING_ROWBALANCE
bibd_81_3.mtx,3240,85320,255960,0.000925926,16,0.032256,0.0100352,0.0126976,0.028672,0.0350208,0.0125952,0.0100352,1,SEQREDUCE_ROWBALANCE
lhr07c.mtx,7337,7337,156508,0.00290736,16,0.027648,0.0104448,0.014336,0.0345088,0.0420864,0.0144384,0.0104448,1,SEQREDUCE_ROWBALANCE
nasa2146.mtx,2146,2146,37198,0.00807719,16,0.0175104,0.0053248,0.0064512,0.0119808,0.0134144,0.0063488,0.0053248,1,SEQREDUCE_ROWBALANCE
mycielskian17.mtx,98303,98303,50122871,0.00518683,16,4.02135,5.59698,1.58945,2.97155,9.30642,1.57829,5.66303,5,ROWCACHING_ROWBALANCE
Trec8.mtx,23,84,549,0.284162,16,0.0139264,0.0052224,0.0044032,0.0101376,0.0045056,0.0044032,0.0052224,2,PARREDUCE_ROWBALANCE
cz628.mtx,628,628,6346,0.0160909,16,0.0164864,0.0052224,0.0045056,0.0119808,0.0062464,0.0045056,0.0053248,2,PARREDUCE_ROWBALANCE
adder_dcop_63.mtx,1813,1813,11246,0.00342139,16,0.01792,0.0628736,0.0120832,0.0118784,0.0099328,0.0120832,0.062976,4,PARREDUCE_NNZBALANCE
fpga_dcop_14.mtx,1220,1220,5892,0.00395861,16,0.0197632,0.0059392,0.0055296,0.009728,0.0074752,0.0055296,0.0059392,2,PARREDUCE_ROWBALANCE
brack2.mtx,62631,62631,366559,9.3447e-05,16,0.0564224,0.0134144,0.075776,0.0434176,0.251904,0.0756736,0.013312,6,ROWCACHING_NNZBALANCE
net100.mtx,29920,29920,1031560,0.00115232,16,0.0873472,0.0293888,0.0510976,0.0540672,0.191795,0.0510976,0.0293888,1,SEQREDUCE_ROWBALANCE
invextr1_new.mtx,30412,30412,1793881,0.00193956,16,0.136499,0.039424,0.0661504,0.143872,0.265626,0.0661504,0.039424,1,SEQREDUCE_ROWBALANCE
can_838.mtx,838,838,5424,0.00772381,16,0.0159744,0.0052224,0.0044032,0.0083968,0.006144,0.0044032,0.0052224,2,PARREDUCE_ROWBALANCE
shipsec8.mtx,114919,114919,3384159,0.000256252,16,0.32768,0.08192,0.188621,0.181555,0.773837,0.188518,0.0816128,6,ROWCACHING_NNZBALANCE
grid2_dual.mtx,3136,3136,6112,0.000621486,16,0.01792,0.0043008,0.0067584,0.0069632,0.013824,0.006656,0.0043008,1,SEQREDUCE_ROWBALANCE
fpga_dcop_30.mtx,1220,1220,5892,0.00395861,16,0.0196608,0.0059392,0.0054272,0.0098304,0.0075776,0.0055296,0.0059392,2,PARREDUCE_ROWBALANCE
nos2.mtx,957,957,2547,0.00278103,16,0.0152576,0.004096,0.004608,0.006144,0.0062464,0.0047104,0.0039936,6,ROWCACHING_NNZBALANCE
flower_4_4.mtx,1837,5529,16466,0.00162118,16,0.0173056,0.0052224,0.0059392,0.0136192,0.0105472,0.0060416,0.0052224,1,SEQREDUCE_ROWBALANCE
ca2010.mtx,710145,710145,1744683,3.45957e-06,16,0.358093,0.147763,0.893235,0.421069,2.67018,0.893235,0.147866,1,SEQREDUCE_ROWBALANCE
cont-201.mtx,80595,80595,239596,3.68862e-05,16,0.0562176,0.0108544,0.095232,0.045056,0.300339,0.0953344,0.0108544,1,SEQREDUCE_ROWBALANCE
TSOPF_RS_b300_c3.mtx,42138,42138,4413449,0.00248559,16,0.341197,0.0924672,0.12503,0.222925,0.58624,0.125133,0.0923648,6,ROWCACHING_NNZBALANCE
relat7b.mtx,21924,1045,81355,0.00355098,16,0.0260096,0.0062464,0.0309248,0.0171008,0.0876544,0.0309248,0.006144,6,ROWCACHING_NNZBALANCE
bibd_9_3.mtx,36,84,252,0.0833333,16,0.0145408,0.0039936,0.0037888,0.006144,0.004608,0.0037888,0.004096,2,PARREDUCE_ROWBALANCE
rel3.mtx,12,5,18,0.3,16,0.011264,0.0032768,0.0037888,0.0036864,0.0037888,0.0037888,0.0033792,1,SEQREDUCE_ROWBALANCE
fd12.mtx,7500,7500,28462,0.000505991,16,0.0223232,0.0045056,0.013312,0.0108544,0.0318464,0.0131072,0.004608,1,SEQREDUCE_ROWBALANCE
scsd8-2r.mtx,8650,60550,190210,0.000363164,16,0.0290816,0.0075776,0.0149504,0.0219136,0.0497664,0.0147456,0.00768,1,SEQREDUCE_ROWBALANCE
atmosmodd.mtx,1270432,1270432,8814880,5.46152e-06,16,1.14412,0.385741,1.90444,1.06127,5.62145,1.90392,0.385741,1,SEQREDUCE_ROWBALANCE
c-36.mtx,7479,7479,36710,0.000656292,16,0.0214016,0.0369664,0.0123904,0.0115712,0.0318464,0.012288,0.036864,3,SEQREDUCE_NNZBALANCE
Erdos02.mtx,6927,6927,8472,0.000176561,16,0.0190464,0.0073728,0.0104448,0.0074752,0.0267264,0.0105472,0.0073728,1,SEQREDUCE_ROWBALANCE
world.mtx,34506,67147,198883,8.58374e-05,16,0.0395264,0.026112,0.050176,0.0361472,0.142746,0.0502784,0.0258048,6,ROWCACHING_NNZBALANCE
oscil_dcop_54.mtx,430,430,1544,0.00835046,16,0.016384,0.004096,0.004096,0.0078848,0.0060416,0.0041984,0.004096,1,SEQREDUCE_ROWBALANCE
oscil_dcop_40.mtx,430,430,1544,0.00835046,16,0.0166912,0.0044032,0.0043008,0.0078848,0.006144,0.0043008,0.0044032,2,PARREDUCE_ROWBALANCE
662_bus.mtx,662,662,1568,0.00357792,16,0.016896,0.0043008,0.004096,0.0070656,0.0060416,0.0041984,0.0041984,2,PARREDUCE_ROWBALANCE
Si34H36.mtx,97569,97569,2626974,0.000275951,16,0.251699,0.104346,0.168448,0.164045,0.616346,0.168448,0.104038,6,ROWCACHING_NNZBALANCE
fs_680_2.mtx,680,680,2646,0.00572232,16,0.017408,0.0044032,0.0047104,0.008192,0.0064512,0.004608,0.0044032,1,SEQREDUCE_ROWBALANCE
G28.mtx,2000,2000,19990,0.0049975,16,0.0173056,0.0058368,0.0060416,0.0103424,0.0114688,0.0060416,0.0058368,1,SEQREDUCE_ROWBALANCE
rajat25.mtx,87190,87190,607235,7.98773e-05,16,0.0850944,1.41793,0.240333,0.096768,0.380211,0.239821,1.42797,0,CuSparse
n2c6-b8.mtx,1470,3990,13230,0.00225564,16,0.0172032,0.0043008,0.0055296,0.0075776,0.0089088,0.0055296,0.0044032,1,SEQREDUCE_ROWBALANCE
YaleB_10NN.mtx,2414,2414,17404,0.00298658,16,0.0176128,0.0067584,0.006144,0.0095232,0.0125952,0.006144,0.0067584,2,PARREDUCE_ROWBALANCE
rosen7.mtx,264,776,8034,0.0392163,16,0.0157696,0.0256,0.007168,0.0212992,0.0057344,0.007168,0.0256,4,PARREDUCE_NNZBALANCE
IG5-7.mtx,62,150,549,0.0590323,16,0.0135168,0.0050176,0.0038912,0.0082944,0.0049152,0.0039936,0.0049152,2,PARREDUCE_ROWBALANCE
lp_nug05.mtx,210,225,1050,0.0222222,16,0.0154624,0.003584,0.0038912,0.005632,0.0054272,0.0038912,0.0036864,1,SEQREDUCE_ROWBALANCE
ex2.mtx,441,441,13640,0.0701354,16,0.0164864,0.0094208,0.0052224,0.0145408,0.0060416,0.0052224,0.0095232,2,PARREDUCE_ROWBALANCE
rkat7_mat5.mtx,694,738,38114,0.0744164,16,0.0167936,0.0104448,0.0062464,0.0489472,0.0083968,0.0062464,0.0103424,2,PARREDUCE_ROWBALANCE
watt_2.mtx,1856,1856,11550,0.00335294,16,0.0200704,0.009216,0.0058368,0.011264,0.0100352,0.0057344,0.009216,5,ROWCACHING_ROWBALANCE
rajat20.mtx,86916,86916,605045,8.00918e-05,16,0.0857088,1.43442,0.240538,0.0965632,0.37888,0.238694,1.39203,0,CuSparse
lung2.mtx,109460,109460,492564,4.11104e-05,16,0.0833536,0.0212992,0.14336,0.10025,0.43223,0.14336,0.0212992,1,SEQREDUCE_ROWBALANCE
lshp2614.mtx,2614,2614,10297,0.00150695,16,0.0169984,0.004608,0.0064512,0.0078848,0.0125952,0.0063488,0.004608,1,SEQREDUCE_ROWBALANCE
n4c6-b11.mtx,69235,132402,830820,9.06331e-05,16,0.0888832,0.0177152,0.0930816,0.0447488,0.323379,0.0929792,0.0178176,1,SEQREDUCE_ROWBALANCE
parabolic_fem.mtx,525825,525825,2100225,7.59597e-06,16,0.38697,0.134554,0.705741,0.405606,2.09336,0.705638,0.134656,1,SEQREDUCE_ROWBALANCE
